Date,Open,High,Low,Close,Adj Close,Volume
2010-12-22,0.12381,0.12897,0.12381,0.12897,0.12897,193846.0
2010-12-23,0.12897,0.12897,0.12639,0.12897,0.12897,333012.0
2010-12-27,,,,,,
2010-12-28,,,,,,
2010-12-29,0.12639,0.13671,0.12639,0.13413,0.13413,425703.0
2010-12-30,0.13929,0.14444,0.13671,0.14444,0.14444,1435830.0
2010-12-31,0.14702,0.15218,0.14444,0.14444,0.14444,1068718.0
2011-01-03,,,,,,
2011-01-04,0.1496,0.1496,0.14187,0.14187,0.14187,400410.0
2011-01-05,0.14444,0.14444,0.13671,0.13671,0.13671,211292.0
2011-01-06,0.13929,0.14444,0.13929,0.14187,0.14187,346054.0
2011-01-07,0.13929,0.14702,0.13929,0.14702,0.14702,1209681.0
2011-01-10,0.14444,0.1496,0.14444,0.1496,0.1496,790049.0
2011-01-11,0.15218,0.17024,0.1496,0.1625,0.1625,3937041.0
2011-01-12,0.16766,0.17024,0.16508,0.17024,0.17024,1374555.0
2011-01-13,0.39973,0.42472,0.39973,0.39973,0.39973,34023.0
2011-01-14,0.16508,0.18056,0.1625,0.1754,0.1754,2557078.0
2011-01-18,0.18571,0.18829,0.18056,0.18056,0.18056,1416315.0
2011-01-19,0.18829,0.20377,0.18829,0.19603,0.19603,1436481.0
2011-01-20,0.20377,0.21151,0.19345,0.20635,0.20635,2328683.0
2011-01-21,0.20635,0.20635,0.19603,0.19861,0.19861,714623.0
2011-01-24,0.20377,0.20377,0.18056,0.18829,0.18829,588641.0
2011-01-25,0.18313,0.18313,0.16766,0.17282,0.17282,1764829.0
2011-01-26,0.47468,0.54963,0.4497,0.54963,0.54963,217778.0
2011-01-27,0.18056,0.18313,0.18056,0.18056,0.18056,527261.0
2011-01-28,0.18313,0.18313,0.17024,0.17282,0.17282,868599.0
2011-01-31,0.17024,0.17798,0.17024,0.17798,0.17798,202443.0
2011-02-01,0.17282,0.17798,0.1496,0.1625,0.1625,1335898.0
2011-02-02,0.17798,0.18056,0.17282,0.17798,0.17798,1059600.0
2011-02-03,0.18056,0.19603,0.18056,0.19603,0.19603,992343.0
2011-02-04,0.19861,0.20119,0.18571,0.18571,0.18571,545400.0
2011-02-07,0.18571,0.18571,0.1754,0.1754,0.1754,482299.0
2011-02-08,0.1754,0.1754,0.17282,0.1754,0.1754,301452.0
2011-02-09,0.18056,0.18571,0.1625,0.17024,0.17024,1191070.0
2011-02-10,0.1754,0.17798,0.16508,0.1754,0.1754,592438.0
2011-02-11,0.17798,0.18056,0.1754,0.1754,0.1754,1376422.0
2011-02-14,0.1754,0.18056,0.1754,0.18056,0.18056,704888.0
2011-02-15,0.18056,0.18056,0.1754,0.18056,0.18056,691740.0
2011-02-16,0.18056,0.18313,0.18056,0.18056,0.18056,492662.0
2011-02-17,0.18056,0.19087,0.17798,0.19087,0.19087,729751.0
2011-02-18,0.19345,0.20119,0.19087,0.20119,0.20119,891983.0
2011-02-22,0.19087,0.19087,0.17798,0.18571,0.18571,378312.0
2011-02-23,0.18829,0.18829,0.17282,0.18829,0.18829,490669.0
2011-02-24,0.17798,0.18571,0.17798,0.18056,0.18056,243593.0
2011-02-25,0.18056,0.18056,0.17798,0.18056,0.18056,1286752.0
2011-02-28,0.18313,0.19603,0.18313,0.19087,0.19087,1657309.0
2011-03-01,0.19861,0.21925,0.19603,0.19861,0.19861,7523747.0
2011-03-02,0.20119,0.20635,0.19603,0.20119,0.20119,3480625.0
2011-03-03,0.20635,0.20635,0.19603,0.19861,0.19861,2872753.0
2011-03-04,0.20377,0.2244,0.20377,0.2244,0.2244,5778139.0
2011-03-07,0.22183,0.22956,0.21409,0.22956,0.22956,3615627.0
2011-03-08,0.22956,0.24504,0.22956,0.24246,0.24246,4082600.0
2011-03-09,0.24762,0.25278,0.22698,0.22698,0.22698,3702236.0
2011-03-10,0.2373,0.2373,0.20635,0.21151,0.21151,1205478.0
2011-03-11,0.20893,0.23214,0.20635,0.2244,0.2244,1481209.0
2011-03-14,0.21151,0.21151,0.18056,0.18829,0.18829,2199684.0
2011-03-15,0.18056,0.18056,0.15476,0.1625,0.1625,2091504.0
2011-03-16,0.15992,0.18313,0.15734,0.1754,0.1754,1087227.0
2011-03-17,0.17024,0.1754,0.15734,0.1754,0.1754,1026803.0
2011-03-18,0.19087,0.22698,0.19087,0.20119,0.20119,2267598.0
2011-03-21,0.22183,0.2244,0.20119,0.20635,0.20635,931686.0
2011-03-22,0.20377,0.21151,0.20377,0.20377,0.20377,1715367.0
2011-03-23,0.20377,0.20893,0.19603,0.20635,0.20635,248904.0
2011-03-24,0.20635,0.20893,0.20119,0.20119,0.20119,641191.0
2011-03-25,0.19603,0.19603,0.18056,0.18313,0.18313,817490.0
2011-03-28,0.18829,0.19087,0.18571,0.19087,0.19087,397842.0
2011-03-29,0.18313,0.18313,0.17798,0.17798,0.17798,156034.0
2011-03-30,0.1754,0.17798,0.1754,0.1754,0.1754,152941.0
2011-03-31,0.1754,0.17798,0.16508,0.16508,0.16508,421123.0
2011-04-01,0.16508,0.17282,0.1625,0.1625,0.1625,565602.0
2011-04-04,0.16508,0.17024,0.1625,0.17024,0.17024,622122.0
2011-04-05,0.17024,0.17024,0.1625,0.16508,0.16508,358898.0
2011-04-06,0.1625,0.1625,0.13929,0.15476,0.15476,767470.0
2011-04-07,0.15476,0.1625,0.15476,0.1625,0.1625,226315.0
2011-04-08,0.15476,0.16508,0.15476,0.16508,0.16508,1978789.0
2011-04-11,0.16508,0.16508,0.14702,0.1496,0.1496,888829.0
2011-04-12,0.15476,0.1754,0.15476,0.15476,0.15476,1241553.0
2011-04-13,0.15476,0.17024,0.15218,0.16766,0.16766,3792374.0
2011-04-14,0.17024,0.17024,0.16508,0.16508,0.16508,369017.0
2011-04-15,0.1625,0.16508,0.15734,0.15992,0.15992,229361.0
2011-04-18,0.15992,0.1625,0.15992,0.1625,0.1625,394386.0
2011-04-19,0.15476,0.15476,0.15218,0.15218,0.15218,150593.0
2011-04-20,0.15476,0.15476,0.15476,0.15476,0.15476,297554.0
2011-04-21,0.15476,0.15476,0.15218,0.15218,0.15218,92327.0
2011-04-25,0.52465,0.54963,0.49967,0.52465,0.52465,73349.0
2011-04-26,0.49967,0.49967,0.4497,0.4497,0.4497,22015.0
2011-04-27,0.15218,0.15218,0.14187,0.14444,0.14444,175336.0
2011-04-28,0.14187,0.14702,0.14187,0.14444,0.14444,345469.0
2011-04-29,0.14187,0.14702,0.13413,0.14702,0.14702,180713.0
2011-05-02,0.14187,0.14187,0.13929,0.13929,0.13929,765207.0
2011-05-03,0.13413,0.13413,0.11865,0.12381,0.12381,821206.0
2011-05-04,0.12381,0.12381,0.10317,0.12381,0.12381,1253529.0
2011-05-05,0.11349,0.11865,0.10575,0.11865,0.11865,612069.0
2011-05-06,0.11349,0.12639,0.11349,0.12381,0.12381,702475.0
2011-05-09,0.12897,0.12897,0.12381,0.12897,0.12897,393950.0
2011-05-10,0.13155,0.13929,0.12897,0.13929,0.13929,960895.0
2011-05-11,0.13929,0.13929,0.13413,0.13413,0.13413,81846.0
2011-05-12,0.13413,0.13413,0.12123,0.12123,0.12123,463292.0
2011-05-13,0.12123,0.12639,0.11865,0.11865,0.11865,310154.0
2011-05-16,0.11865,0.12381,0.11607,0.12123,0.12123,376145.0
2011-05-17,0.12123,0.12123,0.11349,0.11607,0.11607,623504.0
2011-05-18,0.11349,0.11349,0.10317,0.11349,0.11349,715253.0
2011-05-19,0.39973,0.39973,0.37475,0.37475,0.37475,18012.0
2011-05-20,0.10317,0.10833,0.10317,0.10833,0.10833,19385.0
2011-05-23,0.10317,0.11349,0.10317,0.11349,0.11349,559769.0
2011-05-24,0.10317,0.10317,0.09802,0.09802,0.09802,138375.0
2011-05-25,0.09286,0.1006,0.09286,0.1006,0.1006,1954554.0
2011-05-26,0.1006,0.11091,0.1006,0.10317,0.10317,321294.0
2011-05-27,0.10317,0.10833,0.10317,0.10575,0.10575,87231.0
2011-05-31,0.09028,0.11091,0.09028,0.11091,0.11091,756930.0
2011-06-01,0.10833,0.10833,0.09802,0.09802,0.09802,217962.0
2011-06-02,0.09286,0.09286,0.09286,0.09286,0.09286,409168.0
2011-06-03,0.09286,0.09286,0.0877,0.0877,0.0877,256499.0
2011-06-06,0.0877,0.09028,0.08512,0.0877,0.0877,163265.0
2011-06-07,0.0877,0.0877,0.08512,0.0877,0.0877,151200.0
2011-06-08,0.08512,0.0877,0.07738,0.0877,0.0877,484146.0
2011-06-09,0.08254,0.10575,0.08254,0.09286,0.09286,1126283.0
2011-06-10,0.10575,0.12897,0.10575,0.11091,0.11091,2038197.0
2011-06-13,0.39973,0.39973,0.37475,0.39973,0.39973,6204.0
2011-06-14,0.11349,0.12381,0.10833,0.12381,0.12381,726712.0
2011-06-15,0.13155,0.13929,0.12897,0.13929,0.13929,1421313.0
2011-06-16,0.14187,0.1496,0.12381,0.12381,0.12381,1292570.0
2011-06-17,0.11865,0.11865,0.11349,0.11865,0.11865,131428.0
2011-06-20,0.11865,0.12381,0.11607,0.12381,0.12381,374511.0
2011-06-21,0.12381,0.12381,0.11607,0.12123,0.12123,214200.0
2011-06-22,0.12639,0.12639,0.11607,0.11607,0.11607,135692.0
2011-06-23,0.11607,0.12897,0.11607,0.12639,0.12639,163800.0
2011-06-24,0.12381,0.12381,0.12381,0.12381,0.12381,29077.0
2011-06-27,0.34977,0.34977,0.34977,0.34977,0.34977,16587.0
2011-06-28,0.12381,0.12381,0.11865,0.11865,0.11865,222148.0
2011-06-29,0.11865,0.11865,0.11349,0.11349,0.11349,252775.0
2011-06-30,0.11607,0.11607,0.11349,0.11349,0.11349,184594.0
2011-07-01,0.11349,0.11349,0.11349,0.11349,0.11349,48462.0
